dx1,dy1,dz1,dx2,dy2,dz2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-2.800000000000008,0.0,0.0,0.0,0.0,8.701538535405007e-05,1.858480397543642e-05,2.369976138538732e-05,3.0472639549798354e-06
0.0,-2.700000000000008,0.0,0.0,0.0,0.0,8.39076958598639e-05,1.792106122306956e-05,2.2853340894357643e-05,2.938433122496431e-06
0.0,-2.6000000000000085,0.0,0.0,0.0,0.0,8.080000616672578e-05,1.725731845729768e-05,2.200692047438224e-05,2.8296022887258206e-06
0.0,-2.500000000000009,0.0,0.0,0.0,0.0,7.769231626753026e-05,1.6593575672439407e-05,2.116050045231077e-05,2.7207714640613147e-06
0.0,-2.4000000000000092,0.0,0.0,0.0,0.0,7.458462614096106e-05,1.5929832866074236e-05,2.0314079961281095e-05,2.6119406229503148e-06
0.0,-2.3000000000000096,0.0,0.0,0.0,0.0,7.147693580833447e-05,1.5266090043514812e-05,1.9467659726046804e-05,2.503109787875063e-06
0.0,-2.20000000000001,0.0,0.0,0.0,0.0,6.836924527675592e-05,1.4602347202804251e-05,1.8621239490812513e-05,2.394278949961675e-06
0.0,-2.1000000000000103,0.0,0.0,0.0,0.0,6.526155450359283e-05,1.39386043411677e-05,1.7774819383475915e-05,2.2854481107336347e-06
0.0,-2.0000000000000107,0.0,0.0,0.0,0.0,6.215386354568864e-05,1.3274861462073046e-05,1.6928399034554786e-05,2.1766172640503574e-06
0.0,-1.900000000000011,0.0,0.0,0.0,0.0,5.904617236751619e-05,1.2611118565714816e-05,1.608197889879648e-05,2.067786419582732e-06
0.0,-1.8000000000000114,0.0,0.0,0.0,0.0,5.593848099039178e-05,1.1947375649485525e-05,1.523555881988159e-05,1.9589555733308298e-06
0.0,-1.7000000000000117,0.0,0.0,0.0,0.0,5.2830789385893695e-05,1.1283632713972175e-05,1.4389138485171316e-05,1.8501247195862036e-06
0.0,-1.600000000000012,0.0,0.0,0.0,0.0,4.972309758954907e-05,1.0619889765121393e-05,1.3542718534154119e-05,1.7412938737343374e-06
0.0,-1.5000000000000124,0.0,0.0,0.0,0.0,4.6615405551619915e-05,9.956146793204707e-06,1.2696298497871794e-05,1.6324630210973396e-06
0.0,-1.4000000000000128,0.0,0.0,0.0,0.0,4.350771332894965e-05,9.292403802219889e-06,1.1849878291059213e-05,1.5236321659516549e-06
0.0,-1.3000000000000131,0.0,0.0,0.0,0.0,4.0400020907327416e-05,8.628660793002474e-06,1.1003458396885435e-05,1.4148013109715249e-06
0.0,-1.2000000000000135,0.0,0.0,0.0,0.0,3.7292328244120654e-05,7.964917768054674e-06,1.0157038317970546e-05,1.3059704518501199e-06
0.0,-1.1000000000000139,0.0,0.0,0.0,0.0,3.4184635381961925e-05,7.301174720604905e-06,9.310618210633947e-06,1.197139587442086e-06
0.0,-1.0000000000000142,0.0,0.0,0.0,0.0,3.1076942313745803e-05,6.637431658996612e-06,8.464198216984187e-06,1.0883087257706581e-06
0.0,-0.9000000000000146,0.0,0.0,0.0,0.0,2.7969249018156006e-05,5.9736885781983835e-06,7.617778393864683e-06,9.794778643665716e-07
0.0,-0.8000000000000149,0.0,0.0,0.0,0.0,2.4861555544930525e-05,5.309945478442105e-06,6.771358442847486e-06,8.706469996451471e-07
0.0,-0.7000000000000153,0.0,0.0,0.0,0.0,2.1753861823015086e-05,4.646202356246632e-06,5.924938477619435e-06,7.618161279495326e-07
0.0,-0.6000000000000156,0.0,0.0,0.0,0.0,1.8646167916358536e-05,3.982459216080124e-06,5.07851868292164e-06,6.529852597728545e-07
0.0,-0.500000000000016,0.0,0.0,0.0,0.0,1.5538473796539165e-05,3.3187160623517267e-06,4.232098845591281e-06,5.441543890792476e-07
0.0,-0.40000000000001634,0.0,0.0,0.0,0.0,1.2430779435135264e-05,2.654972885064479e-06,3.385678979839213e-06,4.353235138458209e-07
0.0,-0.3000000000000167,0.0,0.0,0.0,0.0,9.323084917411961e-06,1.9912296943528604e-06,2.539259142508854e-06,3.264926373200419e-07
0.0,-0.20000000000001705,0.0,0.0,0.0,0.0,6.215390136787846e-06,1.327486481419168e-06,1.6928391346482385e-06,2.1766175404293868e-07
0.0,-0.10000000000001741,0.0,0.0,0.0,0.0,3.1076951856334745e-06,6.637432494141865e-07,8.464196099566834e-07,1.0883087859829568e-07
0.0,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09999999999998188,0.0,0.0,0.0,0.0,3.107695398796295e-06,6.637432648637447e-07,8.46419979438906e-07,1.0883088737790784e-07
0.0,0.19999999999998153,0.0,0.0,0.0,0.0,6.215390989439129e-06,1.3274865516224288e-06,1.6928395183413159e-06,2.1766177233542632e-07
0.0,0.29999999999998117,0.0,0.0,0.0,0.0,9.323086814561066e-06,1.99122985585039e-06,2.5392592561956917e-06,3.264926598727111e-07
0.0,0.3999999999999808,0.0,0.0,0.0,0.0,1.2430782817318686e-05,2.654973177723385e-06,3.385678965628358e-06,4.3532355160222113e-07
0.0,0.49999999999998046,0.0,0.0,0.0,0.0,1.553847905455541e-05,3.318716519681285e-06,4.232098561374187e-06,5.441544408060153e-07
0.0,0.5999999999999801,0.0,0.0,0.0,0.0,1.864617551206038e-05,3.982459880342491e-06,5.078518185541725e-06,6.529853371162974e-07
0.0,0.6999999999999797,0.0,0.0,0.0,0.0,2.175387216851732e-05,4.646203258583975e-06,5.924937653389861e-06,7.61816228046216e-07
0.0,0.7999999999999794,0.0,0.0,0.0,0.0,2.4861569009715367e-05,5.309946655988445e-06,6.771357206503126e-06,8.706471270431341e-07
0.0,0.899999999999979,0.0,0.0,0.0,0.0,2.7969266092497946e-05,5.973690072029103e-06,7.617776958568356e-06,9.794780304425356e-07
0.0,0.9999999999999787,0.0,0.0,0.0,0.0,3.1076963388443346e-05,6.6374335057205735e-06,8.464196383783928e-06,1.088308926439705e-06
0.0,1.0999999999999783,0.0,0.0,0.0,0.0,3.418466088334071e-05,7.301176957666422e-06,9.310615666890953e-06,1.197139826928662e-06
0.0,1.199999999999978,0.0,0.0,0.0,0.0,3.7292358598506326e-05,7.96492042961013e-06,1.0157035362112765e-05,1.3059707383866972e-06
0.0,1.2999999999999776,0.0,0.0,0.0,0.0,4.040005650551848e-05,8.628663919531962e-06,1.1003454773117483e-05,1.4148016446781645e-06
0.0,1.3999999999999773,0.0,0.0,0.0,0.0,4.350775464700973e-05,9.292407430245815e-06,1.1849874326230747e-05,1.523632555752587e-06
0.0,1.499999999999977,0.0,0.0,0.0,0.0,4.661545298034753e-05,9.95615095384299e-06,1.2696293538283498e-05,1.632463463438593e-06
0.0,1.5999999999999766,0.0,0.0,0.0,0.0,4.972315152684814e-05,1.0619894501495314e-05,1.3542713119818472e-05,1.7412943807109394e-06
