dx1,dy1,dz1,dx2,dy2,dz2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,0.0,0.0,-2.6000000000000085,0.0,0.0,0.3091753396047743,0.09678990752966467,1.2751478735186923,0.25508362119349026
0.0,0.0,0.0,-2.500000000000009,0.0,0.0,0.2973814067868936,0.09315427717403887,1.2253641026091633,0.24520536009551516
0.0,0.0,0.0,-2.4000000000000092,0.0,0.0,0.2855817269779237,0.08951048399430475,1.1755578543536997,0.23532459849477877
0.0,0.0,0.0,-2.3000000000000096,0.0,0.0,0.2737797155511785,0.08585853832614428,1.1257293953943635,0.22544136836058382
0.0,0.0,0.0,-2.20000000000001,0.0,0.0,0.26197082459381704,0.08219845063361712,1.0758789931068224,0.2155557018184316
0.0,0.0,0.0,-2.1000000000000103,0.0,0.0,0.2501550980392757,0.07853023150900348,1.0260069155938203,0.2056676311493014
0.0,0.0,0.0,-2.0000000000000107,0.0,0.0,0.238332580078648,0.07485389167258276,0.9761134316786444,0.1957771887889086
0.0,0.0,0.0,-1.900000000000011,0.0,0.0,0.2265033151599134,0.07116944197244889,0.92624737708356,0.1858844073269345
0.0,0.0,0.0,-1.8000000000000114,0.0,0.0,0.21466734798718434,0.06747689338431842,0.8763699406805765,0.17598931950629518
0.0,0.0,0.0,-1.7000000000000117,0.0,0.0,0.20282472351983571,0.06377626183461686,0.8264712828399148,0.16609203111039278
0.0,0.0,0.0,-1.600000000000012,0.0,0.0,0.19097548697165223,0.06006755897709706,0.7765516739246232,0.1561925818691381
0.0,0.0,0.0,-1.5000000000000124,0.0,0.0,0.17911968380995802,0.056350790897406515,0.7266113850102371,0.14629092541875618
0.0,0.0,0.0,-1.4000000000000128,0.0,0.0,0.16725735975468936,0.05262596907949491,0.676650687878068,0.13638709510710068
0.0,0.0,0.0,-1.3000000000000131,0.0,0.0,0.1553885607774319,0.04889310513376707,0.6267181424338574,0.12648112443123355
0.0,0.0,0.0,-1.2000000000000135,0.0,0.0,0.14351546309140417,0.04515221079685638,0.5767817798661247,0.11657304703656333
0.0,0.0,0.0,-1.1000000000000139,0.0,0.0,0.1316363355211152,0.041403297931340725,0.527737070315041,0.10666289671598751
0.0,0.0,0.0,-1.0000000000000142,0.0,0.0,0.1197504143471626,0.03764637852549532,0.48003214875875244,0.09675070740900851
0.0,0.0,0.0,-0.9000000000000146,0.0,0.0,0.10785774693184536,0.03388146469300629,0.4322733208781244,0.08683651320087565
0.0,0.0,0.0,-0.8000000000000149,0.0,0.0,0.09595838089097342,0.03010856867269576,0.3844604778449394,0.07692034832166583
0.0,0.0,0.0,-0.7000000000000153,0.0,0.0,0.08405236409278061,0.026327702828219068,0.3365935104432367,0.06700263573855134
0.0,0.0,0.0,-0.6000000000000156,0.0,0.0,0.07213974465681616,0.022539091898578726,0.2886723090681187,0.057083909857344926
0.0,0.0,0.0,-0.500000000000016,0.0,0.0,0.06023596257927011,0.0187426427570915,0.24069676372333504,0.047163752297426434
0.0,0.0,0.0,-0.40000000000001634,0.0,0.0,0.04849561961169968,0.014947849384397733,0.19266676401954896,0.037310476902022736
0.0,0.0,0.0,-0.3000000000000167,0.0,0.0,0.036601003188579284,0.011185643045446277,0.14458219917398196,0.02773643534467605
